Item,Observations,MeanYield,MeanRain,MeanTemp
Potatoes,6325,186323.67019762847,1023.7237944664032,19.266158979119258
Cassava,4037,110970.54223433243,1456.3069110725787,21.631982519647803
Sweet potatoes,4719,104075.82898919263,1278.2121212121212,21.034357747318495
Plantains and others,2278,94374.29016681299,1526.313432835821,21.598795361428156
Yams,2661,93906.54114994363,1429.7662532882375,21.37187076514867
Maize,6482,39554.2897253934,1118.1013576056773,19.86354474590085
"Rice, paddy",4994,38081.3882659191,1239.466359631558,20.607046364222928
Wheat,5236,29784.695187165777,910.4516806722689,18.496842795313718
Sorghum,4736,22003.52005912162,1061.7554898648648,20.4851195191996
Soybeans,4261,16725.782680122036,1146.1940858953296,19.50110503237017
